"paralog_pair","GI_score_Meljuso","GI_score_GI1","GI_score_PK1","GI_score_MEWO","GI_score_HS944T","GI_score_IPC298","GI_score_A549","GI_score_HSC5","GI_score_HS936T","GI_score_PATU8988S","GI_score_MEL202","fdr_Meljuso","fdr_GI1","fdr_PK1","fdr_MEWO","fdr_HS944T","fdr_IPC298","fdr_A549","fdr_HSC5","fdr_HS936T","fdr_PATU8988S","fdr_MEL202","p_val_Meljuso","p_val_GI1","p_val_PK1","p_val_MEWO","p_val_HS944T","p_val_IPC298","p_val_A549","p_val_HSC5","p_val_HS936T","p_val_PATU8988S","p_val_MEL202"
"ECHDC3_ECHS1",-0.0303603882684482,-0.198987544597235,-0.171732149274198,-0.0926614420566515,0.0541934054201117,0.0539743523803619,0.0607019572103709,0.051981354746305,0.103800958720367,-0.0345012497370787,0.0863955250923168,0.50772727077271,0.240932596349483,0.444250655572555,0.360488959694684,0.467297936058916,0.746432655949897,0.694516622104398,0.522284103238173,0.696054745041165,0.805419248016893,0.18345703543154,0.44466298012909,0.111663313956986,0.283750893758015,0.295223732440977,0.343946042572091,0.64440828937891,0.620471414614492,0.421230120775506,0.553957882973531,0.748014243370477,0.134414424182911
"AURKA_AURKB",-0.106021730993149,0.809436966220029,0.121206967612673,0.0591106133476135,0.375508551477102,0.930954910591843,0.063601799554355,0.325902289152401,0.492089917184098,0.161398541811635,0.111244082243745,0.423847440708312,0.315050671971015,0.800239084234843,0.770015481123509,0.330174416023431,0.250486061760208,0.844208589720033,0.323966384460676,0.545965782629828,0.348649291672321,0.540143177928722,0.359245224671428,0.165580432139554,0.679689741436978,0.726383804305652,0.218638695230521,0.146335292546585,0.798206305265397,0.22763995306921,0.38320007053288,0.263225052587355,0.474344887547277
"AURKA_AURKC",0.128806061338305,-0.0712298566556032,-0.288280683991979,-0.0642267564998625,-0.0385336641539295,0.345258775624648,0.294616320723739,0.0742025976411053,0.0675347669916418,0.114118814784175,0.276613173236336,0.468916592747448,0.891587805229341,0.439331471888407,0.743940640883347,0.904963475749146,0.20321568357622,0.110262153793759,0.686272521210897,0.926595231483546,0.517606248594236,0.170971242389658,0.404573644680424,0.812726731834919,0.279038370200396,0.696792576574649,0.849754450278961,0.112059507251408,0.0649164348692971,0.597968155038944,0.881225909191755,0.427472248345447,0.123724276437201
"AURKB_AURKC",-0.122685992499131,0.0982554158339794,-0.0389233935891563,0.0946209297927746,-0.0885479414243439,0.33525295902904,0.0481694738997469,0.0481059115800365,0.171323089049691,0.0133219426766118,0.0391541787347978,0.0440731955605323,0.59710441048334,0.91741987544619,0.17867123883255,0.435482340618694,0.364904931456055,0.765682657009468,0.718077554018606,0.572804242137117,0.92498889332722,0.745869252369545,0.0283147439988099,0.432885961558702,0.860545277047354,0.131331297566354,0.313650459738795,0.240196059521123,0.704911792622931,0.63443179747942,0.41103757765297,0.898299235150911,0.695452496699994
"AURKB_PLK4",0.0160275860307774,0.234394408761674,0.63213482692865,0.0883238310097341,0.087837528268356,0.527064985137415,0.242014316646186,0.278513704607319,-0.114402221530003,-0.156794979391167,0.119826915998964,0.782861517916676,0.392017530108208,0.105796832673002,0.276347815296872,0.362026155295781,0.267061669047916,0.0570450623339338,0.034701048351501,0.792648881609143,0.236419733231395,0.297274209718497,0.74309542586367,0.231108459013447,0.0341515935676917,0.217586394354181,0.246939304272009,0.159393371279734,0.0297219979268018,0.0145655338194059,0.679441767018481,0.164303546095658,0.234734989343558
"AURKC_PLK4",0.0316780148539026,-0.0460616829253181,0.177379830728494,0.181536558911488,-0.219255149801917,0.176101075630631,0.335316360547642,0.256545899539196,-0.269717731544821,-0.0749117503993926,0.0877197358711764,0.701782236419681,0.776791737778464,0.370219772842451,0.0109701280934137,0.14333346159242,0.5618229925592,0.00852612694634327,0.0366212539083627,0.227845185755506,0.379921924625576,0.38617548471939,0.65134813295339,0.65225967636166,0.211710245059154,0.00548831285068316,0.0755295180632121,0.430712473861278,0.0031613161708258,0.0155378232278522,0.103864004362473,0.292911177820903,0.318259985167385
"AWAT1_AWAT2",-0.196371795827635,-0.00162059060919327,-0.103773900228767,-0.220805186980673,-0.201295502585194,-0.546523710753488,-0.105808343526234,-0.221552893587027,-0.234460058605408,-0.483450504600385,-0.229231234326642,0.00606019509306919,0.995959087117966,0.66713142999316,0.00219411290897775,0.0320515645286949,0.00527500524920724,0.124512816348787,0.00658121234019495,0.420771691929766,0.000159817197525309,0.00177191972504801,0.00318504231742353,0.993255890064588,0.516055467465587,0.000870280914933131,0.0113238520587542,0.000924818294431594,0.0749781026384601,0.00197111532479284,0.261628628352663,2.68202601967448e-05,0.000659441003300196
"AWAT1_DGAT2",-0.183897484308107,-0.177067686986795,0.168355809259148,-0.167217739901285,-0.3776672002454,-0.373974150713213,-0.150769409362344,-0.170909692741629,-0.215665416615223,-0.19579782869915,-0.205069597861926,0.0118965751088011,0.355965851955843,0.43601343346661,0.00101119789535802,0.000171579755259666,0.00236844085285409,0.0799698969086607,0.0598369946461986,0.270283803485452,0.0210920881472878,0.00656382954677819,0.00669825776381001,0.199242485744287,0.275984021262379,0.000357363125901452,1.15515689128423e-05,0.000311427760710923,0.0445557846152499,0.0283295386301252,0.137036289703976,0.00942374695117086,0.00298579729038045
"AWAT1_DGAT2L6",-0.286137630418174,0.0103602015627497,0.0791913295585981,-0.367120959543473,-0.33523651871295,-0.506939681458552,-0.176387499065075,-0.358578340824267,-0.33961309030616,-0.491045489561462,-0.343097204194517,0.00365459707933964,0.974521654956781,0.732006731709158,0.000139206897605473,0.00117244374418453,0.0206832428554373,0.0426890413440907,0.00176596827811234,0.023827628324275,0.000299554189621202,1.03604843837454e-05,0.00180529158785939,0.954511733512456,0.590898892446852,3.51521465029418e-05,0.000162836270374774,0.00577007347576168,0.0212580100582689,0.000387081937390709,0.00413043586746564,5.70128803148743e-05,1.39708012519213e-06
"AWAT1_MOGAT1",-0.0770652848193173,0.470245154280644,-0.161903685310202,-0.0877343209731347,-0.110767962415392,-0.291518810669021,0.0385181280075521,0.111746680974338,-0.136480256361506,-0.0772296000628145,-0.225518935345894,0.288135317442978,0.0479000562471711,0.51202393058591,0.0602890862267808,0.127514811401428,0.117650071260479,0.631789058892252,0.0818868140067183,0.471254302638489,0.315551008570914,0.00354401467347576,0.229882491172177,0.0103649480053109,0.345628789471516,0.0383874241029355,0.0650791288198796,0.0538312523464632,0.547966305175452,0.0415752585973469,0.309176317407245,0.233204325220885,0.00146098768770333
