"paralog_pair","PC9","HeLa","PC9_fdr","HeLa_fdr"
"ALDH1L1_ALDH1L2",0.00163698134339146,-0.149299743193053,0.991862717593042,0.218990171300318
"ALG10_ALG10B",-0.452519707034177,0.071972676232127,0.00268942059531525,0.785367053142816
"ALG1L_ALG1L2",0.36014695140455,-0.0423532087424393,0.417707258183673,0.920276921322205
"ALOX12_ALOX15",0.0633859695664923,-0.062951872862693,0.619407718446029,0.591638363012248
"AMELX_AMELY",0.139371298125217,0.0530831228206183,0.624137879466996,0.666109823038419
"AMMECR1_AMMECR1L",0.016210758720357,-0.0853796783948699,0.878986307570206,0.390013015353756
"AMPD1_AMPD3",-0.23937725438903,-0.00889686914576763,0.259376442039203,0.945368074276139
"ANGPT1_ANGPT2",0.107699377682291,0.0487562826131219,0.641779506192445,0.695313233035068
"ANGPTL1_ANGPTL2",-0.121024683257701,-0.0633324634526426,0.220525852417592,0.592908313230619
"ANKRD18A_ANKRD18B",0.0414158190813068,0.0212007904593625,0.799679707426192,0.903230974495497
"ANO1_ANO2",0.130778394587477,-0.053405844745945,0.287403035614772,0.347260781369984
"ANO3_ANO4",0.00572587785860234,-0.0414792688276111,0.982026471933473,0.53208556172233
"ANXA1_ANXA2",0.0195122685136933,0.122835820718078,0.904832781469426,0.142305173148021
"AOC2_AOC3",-0.0402885358159078,0.243699130428419,0.807678681011567,0.27243571913185
"AP1G1_AP1G2",-0.373021860530337,-0.0984620654243723,0.0107238903744314,0.503575175825732
"AP1M1_AP1M2",-0.105700623780738,-0.0621225629892219,0.725744781842937,0.710677029267452
"AP2A1_AP2A2",-0.74674786055536,-0.627880550598859,0.00341616516817027,0.000285248554492172
"AP1B1_AP2B1",-0.634254229071421,-0.335255607588008,0.00341616516817027,0.113316213622806
"AP3B1_AP3B2",-0.145355314001554,0.038969442801124,0.459624954803377,0.554439906360851
"AP3M1_AP3M2",-0.180244812393816,-0.108985504426301,0.390062912385937,0.231077210624129
"AP3S1_AP3S2",-0.1131430309839,-0.0240825605107223,0.460910971215641,0.797799408083842
"APH1A_APH1B",0.112794041476501,-0.265737853716077,0.638853716737099,0.00916801337107782
"AQP12A_AQP12B",0.207826145762444,0.0687299062973274,0.013126660994211,0.558014548400146
"ARFGAP2_ARFGAP3",0.210194714826285,0.198183403508701,0.229664561019132,0.113316213622806
"ARFGEF1_ARFGEF2",-0.666713207586581,-0.622636553177604,0.013710039729856,0.00275091607782139
"ARFIP1_ARFIP2",0.0029428216301459,0.0393160859320206,0.988350055591471,0.696833571305496
"ARG1_ARG2",-0.379311427962746,-0.115724053464886,0.0307398059069877,0.428153502397791
"ARHGAP10_ARHGAP26",0.210815880375186,-0.0106707320444683,0.198415472276541,0.954647897703546
"ARHGAP35_ARHGAP5",-0.310560168331234,0.0187965123049496,0.0305490870977425,0.851158662717247
"ARHGEF6_ARHGEF7",0.381968109219863,-0.0861510126518331,0.203579747857884,0.503799872630185
"ARID1A_ARID1B",-0.394392321001175,-0.1865948190201,0.044405925860671,0.0584991470003136
"ARL8A_ARL8B",-0.48442522178039,-0.133404723949692,0.00341616516817027,0.607827247832
"ARNT_ARNT2",-0.150788149730256,0.00485841038312794,0.304366416115556,0.965538680649744
"ARPC1A_ARPC1B",-0.488044256371594,-0.129605631162542,0.00572176736842911,0.305005828152212
"ARPC5_ARPC5L",-0.470658716310686,-0.278984523737856,0.00572176736842911,0.0140587085796402
"ASAP1_ASAP2",-0.105953777481979,0.0497629535058759,0.625701293800633,0.652997042019164
"ASB14_ASB15",-0.266270775428185,-0.0570602900366615,0.156656087756393,0.652997042019164
"ASF1A_ASF1B",-0.272863348889089,-0.778980293190527,0.417707258183673,0.0168350951212736
"ASIC1_ASIC2",0.219909760412735,0.0954645828514868,0.0909958463818057,0.643232428910415
"ATF2_ATF7",0.121818551113023,0.119446146201128,0.494407742537379,0.38160378872994
"ATG4A_ATG4B",-0.16958588581435,-0.0451090766645608,0.244183217449152,0.451077136531209
"ATP13A4_ATP13A5",-0.118844084195259,-0.0414394770506656,0.40813210612737,0.682307345428899
"ATP2C1_ATP2C2",-0.225087864741102,-0.107419524690929,0.102430299879635,0.735293669225915
"ATP5L_ATP5L2",-0.103242907739242,0.202163719664395,0.608100277755504,0.175240296768192
"ATP6V0D1_ATP6V0D2",0.0263030257088718,-0.380039453763796,0.947387051737985,0.111382058779142
"ATP6V1B1_ATP6V1B2",-0.0990362956660971,-0.218096555367638,0.692986234077682,0.453611895052125
"ATP6V1C1_ATP6V1C2",-0.402426168643176,-0.259831837565443,0.0824406651016441,0.0433647366141919
"ATP6V1E1_ATP6V1E2",-0.190837108765762,-0.256393075980497,0.410071511604098,0.241461388708204
"ATP8A1_ATP8A2",-0.049464333669834,-0.081819929935092,0.714141465426384,0.599233330627863
"ATP8B1_ATP8B4",0.207536322405104,0.114718717455699,0.361796444511252,0.278161248574948
"ATP9A_ATP9B",-0.026426476557659,-0.156464067536588,0.870912797333976,0.0517047995825913
"ATRN_ATRNL1",0.179217680020504,0.151395612470022,0.221242488354063,0.196116013770581
"ATXN3_ATXN3L",0.03837722597362,-0.28545652961463,0.887524402978211,0.241461388708204
"B4GALT2_B4GALT1",0.102369376575874,-0.0327865430788719,0.524422919490424,0.700598169086308
"B4GALT6_B4GALT5",0.0878070794263533,-0.0642444211072631,0.582875098706928,0.568557416082451
"BARHL2_BARHL1",-0.124201145426411,-0.178628454571248,0.371581268702057,0.1625788212574
"BCAT2_BCAT1",0.316654439951117,-0.0127677627020714,0.00973687211116301,0.886245782730027
"BCL11B_BCL11A",0.202862435500206,0.180955746217532,0.016653296802675,0.0413586844729448
"BECN2_BECN1",0.155704167151009,-0.129835987680878,0.521928773900239,0.207610554107426
"BEST4_BEST2",-0.0651374060371189,0.168646840539065,0.833634830500923,0.241461388708204
"BEX2_BEX1",-0.152029232690213,-0.193371696755088,0.342397335196159,0.0475682961670438
"BHMT2_BHMT",0.10382699012945,-0.220936684729882,0.548352461248878,0.32147396591957
"BICD2_BICD1",-0.195958249474478,-0.226102685473276,0.234440264358411,0.0507125288358927
"BIRC3_BIRC2",-0.123064261131619,-0.258695071789113,0.547513925694802,0.0104261541052497
