"paralog_pair","GI_score_A549","GI_score_HT29","GI_score_OVCAR8","fdr_A549","fdr_HT29","fdr_OVCAR8","p_val_A549","p_val_HT29","p_val_OVCAR8"
"FN3K_FN3KRP",0.314421630077166,0.184425410732676,0.234575406827881,0.0750354944753856,0.0435079163767831,0.000475355847574723,0.0314664976832262,0.0265581822051827,6.84134966732852e-05
"FNBP1L_TRIP10",-0.258093133232844,-0.276316841842453,0.0108981444725818,0.126537522444522,0.103980426737189,0.949644537926652,0.0660356750655001,0.0727604971213084,0.930793033451681
"FNDC3A_FNDC3B",-0.336147039185217,-0.0673277254958767,-0.159277923762336,0.0068890009654769,0.676056890353365,0.122343190990996,0.00164105233917068,0.642001573340986,0.0646627783649682
"FNIP1_FNIP2",-0.0345518142030762,-0.277072569430873,-0.175677632647984,0.815844746696138,0.000116238573705185,0.0274794397562429,0.747014172533188,2.595898668354e-05,0.0108692209907399
"FXR1_FXR2",-0.209320807808777,0.0718484496726451,0.0316189050277146,0.115351303715599,0.515154476224523,0.76279068309481,0.0566738415277631,0.462744219338157,0.66247329797316
"G3BP1_G3BP2",-0.611572420696601,-0.968316873234939,-0.569743656816516,0.000114734994457617,1.18967983669618e-05,0.000147170824868671,1.1577467031974e-05,1.47602957406474e-06,1.86245957029832e-05
"GABARAP_GABARAPL2",-0.16366340062913,-0.339330803883058,0.0182692608942873,0.241649104663013,0.00451710329596035,0.911343145743849,0.153504145890152,0.00203998213365951,0.861592403296294
"GANAB_GANC",-0.129220622086385,0.0161156186402573,0.168773935822749,0.587130202865144,0.884037779935774,0.0846134885809664,0.485238290846123,0.868682284998924,0.0411072429723151
"GFOD1_GFOD2",-0.457118670688881,-0.408643731754774,0.24443183417576,0.0757676090827351,0.00284208241953621,0.0916508231847501,0.0323375403529291,0.00117068407355586,0.0457117008936347
"GGA1_GGA2",-0.461363253311093,-0.331707757847891,-0.24221386876548,0.00170844621938875,0.000345830076576826,0.014180414421663,0.000296752445055118,0.000100402280296498,0.00467988863047438
