"paralog_pair","GI_score_RPE1","GI_score_HAP1","fdr_RPE1","fdr_HAP1","p_val_RPE1","p_val_HAP1"
"ATF3_JDP2",-0.114110237631191,0.22383490868733,0.761590141671664,0.342128295484881,0.658893943126287,0.197574088766854
"ATF6_ATF6B",0.108056171184233,-0.00479951753843133,0.496679206942579,0.982458642949387,0.350725229463839,0.972156208467202
"ATG4A_ATG4B",0.688984048265522,0.520121558874815,0.00604177733324872,0.0433028552874979,0.000812636717337547,0.0101293228742685
"ATG4C_ATG4D",0.219116408123144,0.106783158143468,0.43165523251011,0.450770264924159,0.289663379710732,0.303149593370048
"ATG16L1_ATG16L2",0.650777460293249,0.0138126638018141,0.0571335459692111,0.933043174229962,0.0176245295314379,0.891814883082731
"ATP6V0A1_ATP6V0A4",0.435045647494495,-0.0808983571548083,0.0387740328058033,0.633326067568949,0.0101470056611678,0.48775334557971
"ATP6V0A2_TCIRG1",0.598797349886923,0.0347276089936454,0.0030475128538425,0.851048372293688,0.000325246254869156,0.761464333104879
"ATP6V1C1_ATP6V1C2",0.473220091414505,0.049366745728354,0.104510555389054,0.848832171875694,0.0392639016687164,0.754531475774881
"ATP8A1_ATP8A2",-0.00421698999476097,0.334236225873491,0.985994554938505,0.0500818299898609,0.978786992402405,0.0125204574974652
"ATP9A_ATP9B",0.243413441589182,0.298235965399207,0.121372417763037,0.00665155613304363,0.0498620605137621,0.000695607775717654
"ATRN_ATRNL1",-0.350809565197818,0.209366615855938,0.00968435246960467,0.0678143432953299,0.00153895356775955,0.0206203931731767
"ATXN1_ATXN1L",0.286122447300787,-0.438836336379104,0.208801419104433,0.000444736457102093,0.105316505250043,1.62549874671818e-05
"ATXN7_ATXN7L2",0.528009205972758,-0.190232684391869,0.00289327421943689,0.191724040302408,0.000249566051091779,0.084610351045092
"AUH_ECHDC2",0.170322906378557,0.169739781625683,0.41491352876149,0.148240624002317,0.273627615725087,0.0598163921412859
"AXIN1_AXIN2",0.201570442700039,0.101052235799739,0.432595818950575,0.520024258922837,0.290927012744539,0.370956634029498
"B4GALT5_B4GALT6",0.606226590161152,0.0500727276845857,0.00873022715491928,0.757292725283735,0.00134016644922007,0.635505883498339
"BACH1_BACH2",-0.335699460704986,-0.125293283311376,0.0185412913537837,0.0968661290314903,0.00368657254987512,0.0336746225452441
"BAG3_BAG4",-0.0637438276579448,0.00354675103212652,0.815901786175235,0.982458642949387,0.732476037462083,0.972404241632653
"BAIAP3_UNC13D",-0.108197030606018,0.165146753333618,0.685417656358204,0.403068376256818,0.55414614614925,0.255445061647008
"BANK1_PIK3AP1",-0.289740166810508,0.0362264725035734,0.1759221951049,0.820336440040073,0.0828171737189733,0.712652115564954
"BCOR_BCORL1",-0.430628086437696,-0.0611097359630418,0.0173751981564647,0.513758284369638,0.00337851075264592,0.363290858955788
"BEGAIN_TJAP1",-0.440479315436366,-0.0603035972727634,0.0405610526665439,0.687846929492219,0.0109570096276828,0.549888840717286
"BMI1_PCGF2",0.199360693569607,0.343682376430248,0.57021197444159,0.0215603871046963,0.427658980831193,0.00406621335746466
"BMPR1A_BMPR1B",-0.0331398980275905,0.0777731609858847,0.865403019264213,0.751748722473844,0.800877355547145,0.625358220888329
"BRD7_BRD9",0.760661416741644,0.0668894311955331,0.000966967998340205,0.348598216531871,4.38245730241906e-05,0.203348959643592
"BRMS1_BRMS1L",-0.352167202848042,-0.216587443938189,0.0265756918214219,0.10084077771017,0.00625538944919433,0.0353827290211122
"BTBD1_BTBD2",-0.268379617530277,-0.124835619841334,0.13882721513775,0.239115369102838,0.0602802381519177,0.118149893461173
"BTBD3_BTBD6",0.936995189127452,0.165335345295137,0.00162659482344215,0.133325430683745,9.27444416874911e-05,0.0502894168368511
"BTBD10_KCTD20",-0.142582600079254,-0.1407850361171,0.405405984982963,0.397318935052784,0.259602078103125,0.245710394045801
"BTRC_FBXW11",-0.672656046677118,-0.31920238883067,0.00611409685574088,0.0659432803946613,0.000831302642666523,0.0193720974046265
"CAB39_CAB39L",0.0429802677553353,-0.275958152107739,0.813696489829372,0.10481609978473,0.725707243013995,0.0371515923191331
"CALB1_CALB2",-0.15711033193753,-0.299677952634188,0.57747722385904,0.00820108932228433,0.433952182841442,0.00101914121695054
"CALM1_CALM2",0.0238211867355089,0.369589791352884,0.968711246738937,0.22164905326523,0.956474650851885,0.105963801780307
"CAMKK1_CAMKK2",0.159325281303354,-0.440484155704845,0.702491766660788,0.0171018168244955,0.574112423338276,0.00292531077261107
"CAND1_CAND2",-0.695346744913874,-0.23503103482476,0.0127848384159864,0.0264508132162751,0.00216818897113219,0.00514321368094238
"CANX_CLGN",-0.193795018533634,0.0971300862885896,0.407181369377148,0.398097114937434,0.263096696352486,0.246773650195135
"CAPRIN1_CAPRIN2",-0.127408302847601,0.23805164416869,0.621738543685298,0.0409162353283048,0.47357570359655,0.00939159202711089
"CASKIN1_CASKIN2",0.0496294841573865,0.101198341349953,0.887333265559542,0.529272994737781,0.824094383070129,0.382233484188981
"CASP3_CASP7",0.186585309601226,0.059834848582354,0.438251675669684,0.447955852263799,0.296840837347824,0.300601953492812
"CBX1_CBX5",-0.255971897611054,-0.295481910162457,0.3770001487093,0.00323240353948088,0.236451847655395,0.000277395573017847
"CC2D1A_CC2D1B",0.597672181730098,-0.358992645454564,0.13820983149651,0.244078470133607,0.0598101025189576,0.123823434409885
"CCDC102A_CCDC102B",-0.0463660557456461,0.366675263686408,0.798811580256322,0.00323240353948088,0.708886884818111,0.00027881843396107
"CCNA1_CCNA2",0.15130711934834,-0.0648669768029184,0.640964457891771,0.717382509474566,0.493842498989713,0.583135490157689
"CCNB1_CCNB2",-0.509305389065606,-0.394934450965941,0.00185380201670824,0.00360279840805592,0.000118945401850732,0.00032656944634425
"CCND1_CCND2",0.25669110695097,0.321714341269894,0.41491352876149,0.0528000813693943,0.274182624269289,0.0138947582551038
"CCNE1_CCNE2",0.108724561966615,0.0864773810720981,0.479806526910653,0.39015600875471,0.335303391613,0.239569479059909
"CCNG1_CCNG2",0.0662914115406624,-0.0634085906155231,0.754417112758133,0.513945659184197,0.646328111222611,0.36517191573614
"CCNJ_CCNJL",0.581852366069313,0.0864443029941187,0.0822412515997309,0.675683093121703,0.0280149292730078,0.530470498547302
"CCNL1_CCNL2",-0.638626819487058,-0.415737933293086,0.0356537148321421,0.0678143432953299,0.00922618059252801,0.0202486752395072
"CCNT1_CCNT2",-0.0127982444284197,-0.21631655464265,0.968711246738937,0.421401585286968,0.954346202368718,0.27354137992312
"CCNY_CCNYL1",0.655961393304813,-0.116878517009976,0.00294875006754276,0.406179857111213,0.0002839636080466,0.260697727947756
