,RPE1.T18,RPE1.T24
BANK1_PIK3AP1,-1.3588447953219298,-1.3945959118441633
BCOR_BCORL1,-1.2390505181251983,-1.3725982887217858
BEGAIN_TJAP1,-1.8977495389351204,-1.5595727965476667
BMI1_PCGF2,0.7023601770499859,0.7003317118143558
BMPR1A_BMPR1B,0.7981591807002593,0.9216729114223878
BRD7_BRD9,1.7430215937238185,1.8167146295849745
BRMS1_BRMS1L,-1.1036021186324276,-1.104561578184784
BTBD1_BTBD2,-0.7903700988772291,-0.22033330446589644
BTBD3_BTBD6,1.5455875089299038,1.4673516692158453
BTBD10_KCTD20,-0.08983140211466771,-0.17028828077286903
BTRC_FBXW11,-1.70768096718041,-2.290890807777214
CAB39_CAB39L,1.399314163056969,2.4244866376293777
CALB1_CALB2,-0.6047151107455574,-0.45951964499417064
CALM1_CALM2,0.7803079419402257,0.6771379969016489
CAMKK1_CAMKK2,0.6158536799211073,1.0156016456938406
CAND1_CAND2,-2.6497175965153223,-2.338650210127086
CANX_CLGN,-1.3172710231747915,-1.0086849521702435
CAPRIN1_CAPRIN2,-0.07491299439663376,-0.2506746838476184
CASKIN1_CASKIN2,0.09020472302151239,0.11858436930024759
CASP3_CASP7,-0.10920405056891354,-0.028784801134065594
CBX1_CBX5,-0.20041737678285812,0.2641776939137126
CC2D1A_CC2D1B,-0.04782107387117138,0.5288745284297544
CCDC102A_CCDC102B,0.16990297058499199,0.018802760558138967
CCNA1_CCNA2,-0.17203292629888883,-0.24330110310718242
CCNB1_CCNB2,-1.4102273196930704,-1.2794384433174248
CCND1_CCND2,-1.0845849370896008,-1.2606477528683653
CCNE1_CCNE2,0.2625088334024233,0.9048799140289273
CCNG1_CCNG2,0.003228843841645496,-0.08006818988142557
CCNJ_CCNJL,1.9119033323363657,1.6062287744634045
CCNL1_CCNL2,-1.7414792491981164,-1.8065038650754677
CCNT1_CCNT2,0.627424767559886,0.7435343542987805
CCNY_CCNYL1,1.9724276080958358,1.4526673301258044
CD151_TSPAN11,-0.2575449006613342,-0.551358888908477
CDC34_UBE2R2,-0.10505119379460773,0.2759693712191142
CDK2_CDK3,0.6716820163715148,0.9553281523515086
CDK2AP1_CDK2AP2,-1.7948029319836194,-1.8692790239378068
CDK12_CDK13,0.2760894994413108,0.052122553662083605
CDK14_CDK15,-0.41027245107271976,-0.8282564427372614
CDKL2_CDKL3,-0.5204123329887178,-0.7549102721333685
CEP85_CEP85L,-1.2907400482957618,-1.1316524316854126
CERS5_CERS6,-0.1933369666974256,0.4589721409974969
CHCHD3_CHCHD6,-1.091257957808143,-0.9752751889590655
CHD1_CHD2,-1.1856471037402072,-1.4574093495139235
CHD3_CHD5,-0.815848828468691,-0.39462831129436354
CHIC1_CHIC2,0.43183806949634657,0.16205907546848244
CHMP4A_CHMP4C,1.0001467770756227,1.4627717630185515
CHPF_CHPF2,2.508102031739711,2.0711620213638957
CHSY1_CHSY3,0.54724624163788,0.37381030217086947
CLCN3_CLCN4,-0.5211863209128138,-0.24228296285981699
CLIP1_CLIP2,-0.8464771141803766,-1.1739677813957539
CLOCK_NPAS2,0.5682919617667561,0.4404073589106585
CLTC_CLTCL1,0.1742233355089396,0.3164681992045622
CNKSR1_CNKSR3,-0.42466372115304774,-0.7484058047850244
CNOT7_CNOT8,-1.4348861364605618,-1.2544138508757676
COMP_THBS3,-0.13615471409136465,-0.3565304583149936
COPG1_COPG2,0.7474189198263589,0.6826744750948657
COPZ1_COPZ2,-1.2965923696814035,-0.6878006409971091
