,HeLa
ATG4A_ATG4B,-0.5729409342488656
ATP13A4_ATP13A5,0.29427658474521434
ATP2C1_ATP2C2,0.9668170149543951
ATP5L_ATP5L2,2.912079015120084
ATP6V0D1_ATP6V0D2,-2.000342009169815
ATP6V1B1_ATP6V1B2,0.04560319808941006
ATP6V1C1_ATP6V1C2,-0.9630412142990746
ATP6V1E1_ATP6V1E2,0.23858742049526274
ATP8A1_ATP8A2,-0.031145986568627545
ATP8B1_ATP8B4,0.8421816048765405
ATP9A_ATP9B,0.35697586326367975
ATRN_ATRNL1,0.029054209601331978
ATXN3_ATXN3L,-0.5047373133837515
B4GALT1_B4GALT2,-0.3375645452531061
B4GALT5_B4GALT6,-0.07733188482991443
BARHL1_BARHL2,-0.22684389563365626
BCAT1_BCAT2,-0.868703604326091
BCL11A_BCL11B,1.0499573309203072
BECN1_BECN2,0.95754943473548
BEST2_BEST4,1.4016577853467604
BEX1_BEX2,-1.6270513588115463
BHMT_BHMT2,-0.22983921770474341
BICD1_BICD2,-0.13250843084864297
BIRC2_BIRC3,-0.8913202021344118
BMP2_BMP4,1.1954671599260627
BMP8A_BMP8B,-0.42238858926413303
BOD1_BOD1L2,-0.255416915339109
BRD2_BRD3,-1.1465287560060058
BRSK1_BRSK2,0.20803856913729837
ABTB2_BTBD11,-1.322951355205722
BTBD1_BTBD2,-0.0215741647946901
BTBD3_BTBD6,0.10932524348550735
BTF3_BTF3L4,-0.9542489673551655
BTG1_BTG2,0.6238455153193645
BTN2A1_BTN2A2,-0.2276454549177389
BTNL3_BTNL8,0.6261757485860465
BZW1_BZW2,-0.9477220270019846
C1GALT1C1_C1GALT1C1L,-0.6679611842196571
C1QTNF9_C1QTNF9B,-0.09232217787124586
C2CD4A_C2CD4B,0.14507327417687152
CA10_CA11,0.5231974216469829
CAB39_CAB39L,-1.1855036465114146
CABP2_CABP5,1.9102288588860388
CACNA2D1_CACNA2D2,0.366344742055957
CACNA2D3_CACNA2D4,-0.8512829768694072
CACNG5_CACNG7,0.8360931277735457
CADPS_CADPS2,-0.2276531279730978
CALB1_CALB2,1.0967146022424272
CALCR_CALCRL,0.33833092035113554
CABP7_CALN1,-1.2145735387090881
CAMK2N1_CAMK2N2,-0.5832429631473981
CAND1_CAND2,-0.7007614495078255
CAP1_CAP2,-0.8126768094135873
CAPNS1_CAPNS2,-0.06299432442799986
CAPZA1_CAPZA2,-1.073394557661754
CASP4_CASP5,0.9525741866935802
CASQ1_CASQ2,-0.1049052600369997
CAV1_CAV3,1.3433254840447402
CBR1_CBR3,0.7425912713525961
CCDC74A_CCDC74B,1.7073529413664044
CCNL1_CCNL2,-5.905748963948073
CCNY_CCNYL1,0.30573668026346135
CCT6A_CCT6B,-1.1427814363605573
CD200R1_CD200R1L,1.3358947746348793
CDC42BPA_CDC42BPB,1.4539949691030034
CDH1_CDH3,0.1137914366428542
CDH2_CDH4,0.007975217756527736
CDK11A_CDK11B,0.7800252084239521
CDK14_CDK15,-0.6801598987493199
CDK2AP1_CDK2AP2,-0.8188359920093354
CDK4_CDK6,0.1147690211527312
CDKN2A_CDKN2B,0.4065157962663883
CDRT15_CDRT15L2,0.7867218605817425
CDS1_CDS2,-1.3071487728600015
CEACAM3_CEACAM4,-0.05214911961202255
CELF1_CELF2,1.0290906645356057
CERS2_CERS3,0.058062746471589384
CERS5_CERS6,-0.5828701862634307
CETN1_CETN2,-0.0639844085442453
CHD1_CHD2,0.5784967031735347
CHI3L1_CHI3L2,0.5509308864414625
CHIC1_CHIC2,-0.2895020343698248
CHM_CHML,-1.5023814984552397
CHMP1A_CHMP1B,-0.6198859623303223
CHP1_CHP2,-1.0284747212776644
CHPF_CHPF2,-0.3318525386575994
CEPT1_CHPT1,-2.2585309252616996
CHRM2_CHRM4,1.2715084769315428
CHRFAM7A_CHRNA7,-0.2654708118005154
CHRNA10_CHRNA9,1.1324497358054442
CHRNA5_CHRNB3,0.6979666341482914
CHRNB2_CHRNB4,-0.2084925381519095
CHSY1_CHSY3,0.6823003570538827
CIB2_CIB3,0.5979333992524092
CKS1B_CKS2,-1.9376410227030725
