,PC9
CHRNA5_CHRNB3,0.0392890745407446
CHRNB2_CHRNB4,0.4426560785152617
CHSY1_CHSY3,-0.5567667405543371
CIB2_CIB3,0.2409541399566361
CKS1B_CKS2,-1.3573337723691845
CLASP1_CLASP2,-3.2086062245455858
CLCA1_CLCA4,-1.480474313136735
CLCNKA_CLCNKB,1.0649766633423947
CLDN17_CLDN8,-0.23604450664853358
CD209_CLEC4M,-0.1698138302270626
CLEC4C_CLEC6A,2.3098418121015603
CANX_CLGN,0.0622165196863711
CLTA_CLTB,-2.5070009408008698
CLTC_CLTCL1,-1.214735271388371
CLVS1_CLVS2,0.06545933304632359
CNNM2_CNNM4,-0.042426764580499265
CNOT6_CNOT6L,0.6770755735546335
CNOT7_CNOT8,-3.1454007884398525
COL4A2_COL4A6,1.2117992677820784
COPG1_COPG2,-2.8144661859566624
COPZ1_COPZ2,1.7121456946031623
COQ10A_COQ10B,-2.960704081091502
CORO2A_CORO2B,-0.009800549899087671
COX6A1_COX6A2,-1.991501897950935
COX7B_COX7B2,1.826514947175361
CPEB3_CPEB4,2.075455314270306
CPLX1_CPLX2,0.5330197015148898
CPLX3_CPLX4,0.045668711442723386
CRABP1_CRABP2,-0.04513495984032764
CRISP2_CRISP3,1.5243142413131752
CRK_CRKL,-1.4396068497914005
APCS_CRP,-0.2997124733710934
CRY1_CRY2,0.2702308441354415
CRYBB2_CRYBB3,-0.05584839865500463
CARHSP1_CSDC2,-1.970991525868924
CSGALNACT1_CSGALNACT2,-0.7475698563680082
CSTA_CSTB,-0.6732368438299882
CSTF2_CSTF2T,-3.0396633021446244
CTPS1_CTPS2,0.901221249159359
CTXN2_CTXN3,-0.6445263894037694
CUL4A_CUL4B,1.2494497248980785
CXCL5_CXCL6,-1.5029176818767402
CXCR1_CXCR2,-1.0002879247116783
CXorf40A_CXorf40B,-0.475649965797582
CYFIP1_CYFIP2,-0.767202459348344
CYP11B1_CYP11B2,-0.8142520732038208
CYP26B1_CYP26C1,2.227223501486935
CYP4X1_CYP4Z1,1.5455650529510878
DAAM1_DAAM2,-0.7321487502897495
DDI1_DDI2,-1.6907528438756332
DDR1_DDR2,1.4075884596327228
DDT_DDTL,-0.02740257822905587
DDX39A_DDX39B,-2.905962558640142
DDX3X_DDX3Y,3.006764693231468
DDX17_DDX5,0.01254515113512887
DDX21_DDX50,0.1861489833878703
DDX43_DDX53,1.3881902929366945
DDX60_DDX60L,0.546234146809252
DEFB131A_DEFB131B,0.7288999925353448
