,HAP1.T12,HAP1.T18
CTBP1_CTBP2,-0.1888414160300951,-1.4704874703860513
RAVER1_RAVER2,1.177561209268954,1.5349726630645122
CTPS1_CTPS2,-1.8453944108841636,-0.8870924832731621
CUL4A_CUL4B,-4.591464159648241,-4.984370727627878
CUX1_CUX2,0.07939701413845873,-0.10657190395994853
CYB5A_CYB5B,-0.81862880643978,-0.8732289431191329
DAAM1_DAAM2,-0.6459554776205545,-1.175849768514859
DAB1_DAB2,-0.6228019689589427,-0.027913883411254843
DACH1_DACH2,0.236498262920115,0.3805740871405841
DCHS1_DCHS2,1.6468742804997185,1.7802459991092583
DDHD2_SEC23IP,-0.6505209194345868,-0.09705505814650496
DDR1_DDR2,0.6956208623718713,0.11520697026680178
DENND6A_DENND6B,0.5442789549698203,-0.21573809678750408
DERL2_DERL3,-1.1883520170770476,-0.9584533524715753
DHX32_DQX1,-0.0607862304820143,0.22387158829959927
DHX58_IFIH1,0.34380814961066763,0.008964897966983543
DIP2A_DIP2C,-0.17739510977767742,-0.31457513606171356
DLG1_DLG4,-0.5059724373196562,-0.4468685763094266
DLG2_DLG3,0.8754783554860911,1.0156041941905896
DMRTA1_DMRTA2,1.0948699533083857,1.5115880299297604
DNAH11_DNAH17,0.5428038048309124,0.1642290069247061
DNAJA1_DNAJA4,-1.829580121451282,-1.391467207843515
DNAJC15_DNAJC19,-2.186751554795404,-1.8579563622440105
DOCK3_DOCK4,0.4681175331168642,0.38037012013293425
DOK1_DOK3,-1.1275032426572364,-1.1241497727950573
DOPEY1_DOPEY2,0.8998264434615993,1.5468792306354804
DST_MACF1,-0.7674372458759278,-0.6477536079382351
DUSP15_DUSP22,0.822575981929489,1.1579727949504164
DUSP16_DUSP8,0.9527483676600893,1.4667317573799625
DVL1_DVL3,-1.5164645299845052,-1.2831756370593956
DYNLL1_DYNLL2,-0.2685572308565466,-0.24341352730133925
DYRK2_DYRK3,-0.36436961060275097,-0.18788560260242854
E2F7_E2F8,-0.4214769179038153,-0.521890570707477
EBF1_EBF3,1.526397230530493,1.4498587933924365
EEF1A1_EEF1A2,1.856407099442529,1.9137233318252413
EFHD1_EFHD2,0.60339346967318,0.35657267028571843
EGR2_EGR3,0.6739932217850301,0.8907061278479752
EHBP1_EHBP1L1,-1.1230721432578739,-0.6224553967890967
EIF1_EIF1B,1.0906972965232404,1.2906491243502152
EIF4A1_EIF4A2,2.6748418598948334,1.8632157010972306
EIF4EBP1_EIF4EBP2,0.3671521853516164,-0.009365512818905625
EIF4G1_EIF4G3,0.7610289065903588,0.7609542312687652
ELAVL1_ELAVL2,-0.6264332117006723,-0.47013790242653014
ELK3_ELK4,0.6547904003841432,1.437221121791768
ELMO2_ELMO3,0.03870628075243141,-0.02164029928225274
ELMOD1_ELMOD2,0.38776478939587394,-0.14251894490714886
ELOVL1_ELOVL7,1.4689001094507694,1.7902003804843554
EMC8_EMC9,0.6220372721856866,0.3196645811171775
EME1_EME2,1.168898556106733,0.8504393406479089
EMX1_EMX2,-0.4927836784796112,-0.32238069725858703
EN1_EN2,1.996761728858033,1.9015550003891604
ENOX1_ENOX2,-0.8161309320475209,-0.9823427640484278
ENTPD5_ENTPD6,-1.349725756735654,-0.9950997137565758
EP400_SRCAP,0.07186213804655844,0.3988500050750606
EPC1_EPC2,0.2281611214113315,0.6205986377025774
EPS15_EPS15L1,0.7801731083395534,1.4555158438095328
ERC1_ERC2,0.31845472088993787,1.1502789331595167
ERLIN1_ERLIN2,0.11258618356341865,-0.36335938441267074
ESRP1_ESRP2,-0.41293093811356857,-0.32788990191043127
ESYT2_ESYT3,-0.26602971372005757,-0.19070438723564168
ETS1_ETS2,-0.06072815915103307,0.12502196390289555
ETV1_ETV4,0.6145592609472852,1.0502748926232317
EXOC6_EXOC6B,-0.9994875736427774,-1.2499539316226171
EXT1_EXTL1,1.136842041928341,0.6083593622963194
FAM49A_FAM49B,-1.0349190065975766,-0.5444657468274897
FAM78A_FAM78B,0.14004174326625585,0.570111680834266
UBALD1_UBALD2,0.437692326558226,0.6695211948493909
FAM102A_FAM102B,-2.0026602657436534,-2.296435052353069
FAM117A_FAM117B,0.031231373537680285,-0.1332228199097048
MVB12A_MVB12B,0.027747686916093302,-0.05247903804731082
FAM126A_FAM126B,-0.6324060186927712,-0.6447667370329564
FAM160A1_FAM160A2,-0.7243837137496041,-0.6205976034779013
FAM160B1_FAM160B2,0.510682525880412,0.298344787626651
FAM161A_FAM161B,-0.161762538020027,-0.13622162366593452
FARP1_FARP2,-0.49673095899068626,-0.5083992619824557
FBLIM1_ZYX,0.6331141870761817,1.200948019357411
FBN1_FBN2,-1.4463260042824446,-1.0932612338860304
FBXO25_FBXO32,-0.19454193960246127,-0.8398868164848492
FEM1A_FEM1C,0.7013398400645917,0.49402392741036294
FER_FES,0.5853441795751951,0.9872546999571216
FGF1_FGF2,-0.9863999680130422,-1.4540656051723544
FHOD1_FHOD3,0.5147344745590118,0.7794435313347069
FLNB_FLNC,-0.5068536342099025,-0.8175514322995855
FMN1_FMN2,1.274830112602538,1.207485983009131
FNDC3A_FNDC3B,0.19650774553452963,0.11903542976986874
FOXF1_FOXF2,1.2116880258521614,1.0231972668938794
FOXK1_FOXK2,1.0749614507643823,1.6234734908858999
FOXN2_FOXN3,-1.0367143687680447,-1.0277257249659781
FSCN1_FSCN2,0.45506018922065483,0.36583180242199015
FST_FSTL3,0.8564212328294817,1.6137056947078103
FUBP1_FUBP3,1.4900087361830179,2.7331081575048985
FUCA1_FUCA2,0.4985986968172107,0.9020057427980291
FUNDC1_FUNDC2,-0.12041005124335778,-0.18759307297955602
GALNT10_GALNTL6,0.9632765697050693,0.48650156132029465
GATAD2A_GATAD2B,0.1281754091447607,0.009513039498446459
GDPD1_GDPD3,0.35625434152872404,0.15589033367781113
GFOD1_GFOD2,0.10978273663385206,0.8039298974078567
GLIS1_GLIS3,0.4244249633459874,0.04037422854793106
GMFB_GMFG,0.8734592084967243,0.6194514665625867
GNA11_GNAQ,0.5596556808562883,0.6168790285456935
GNA12_GNA13,1.1715827679821433,0.5303418793342453
GNAL_GNAS,1.1459819981218218,1.7294752959129438
GNB1_GNB4,-0.28080582906297213,-1.036830431996894
GNL3_GNL3L,-0.8334325961964215,-1.2428908585392326
GNPDA1_GNPDA2,-1.5312094503242137,-1.4002503060081481
GOLGA7_GOLGA7B,0.20656181372930152,0.46240850271260026
GPATCH2_GPATCH2L,1.1981220140340105,1.5466514318403286
GPC1_GPC6,-1.0894560864557314,-0.1789339335932152
GPR137_GPR137C,-1.9608194663774803,-1.2209836922302373
GPSM1_GPSM2,-0.1487222256936709,0.5915936793204559
GREB1_GREB1L,1.3731667686328135,0.5486483635471807
GRPEL1_GRPEL2,1.7209689776323132,2.33014579201646
H2AFY_H2AFY2,-1.4975084669841785,-1.4881645415598157
HEATR5A_HEATR5B,1.7256684680877674,1.8249516854211936
HERC3_HERC4,0.9495012057345574,1.9241516789841497
HEXA_HEXB,-0.8226896853506592,-0.6988546688517743
HIP1_HIP1R,-0.06327977075216307,-0.05654421397039791
HNRNPF_HNRNPH3,-2.7705944012738826,-2.0452927311822964
HNRNPR_SYNCRIP,-0.02881807705678,-0.5437985963487484
HOOK1_HOOK2,0.7987304593474975,1.197186913355924
HOXA2_HOXB2,-0.9753550380871968,-1.2210678302777567
