,A549,HT29,OVCAR8
CLTA_CLTB,-0.2664134544812007,0.09664838213439045,0.02075053215768862
CNNM2_CNNM4,0.6421829115033596,0.44230402554385106,-0.2840852081554995
CNOT7_CNOT8,-5.194131874472328,-6.954211693187605,-7.568975169656864
COPS7A_COPS7B,-3.0859968141991994,-2.8502150129258053,-4.513922951026846
COQ8A_COQ8B,-0.7283508049583105,-0.013944577135670521,-1.90548120856438
CORO1B_CORO1C,-0.11302751163793619,0.22662913224512726,0.9254637199978691
CPEB2_CPEB4,1.49770259463945,0.9776955422754566,1.4126325950705536
CPNE1_CPNE2,-0.6190718795628155,0.17045911232069774,0.5473634089989334
CRTAP_P3H4,0.5569502561772443,1.2056489486422488,1.506421867980221
CRY1_CRY2,-1.0036463100482345,0.13418344632462198,0.6574920691556428
CSNK1D_CSNK1E,-3.9676014972968576,-3.168586707258146,-5.1780935624790985
CSNK1G1_CSNK1G2,-0.25736193633438403,0.32010441180141047,0.3561767231804432
CSNK2A1_CSNK2A2,-3.3072550225474826,-5.931582282707186,-4.13640030193639
CTDSP1_CTDSP2,-0.7675089078969441,-0.40944448251563886,1.1350737184085768
CUL7_CUL9,-0.3304383261795012,-0.18680750214440722,0.32825801880632455
CYB5R1_CYB5R3,-0.20849927448014607,-0.15532842789653944,-0.12200017626545433
CYTH1_CYTH2,1.3184200333465237,-0.045003578849727756,0.7102315245630884
CYTH2_CYTH3,0.67774338575165,0.3831867770858112,0.17579968917098202
DCK_DGUOK,-0.2967649733278012,-0.08465070864293249,0.035223732911534446
DCUN1D1_DCUN1D2,0.4232152655436296,0.13383877808844372,-0.4076191570630835
DCUN1D4_DCUN1D5,-0.7126811241144418,0.09258761267102365,-0.5229253752028875
DDHD2_SEC23IP,-0.8010079854366323,-0.6365485042881891,0.4466145815081233
DDX19A_DDX19B,-6.46059774972184,-8.024475066260251,-7.061637152324969
DHRS4_DHRS4L2,0.41845649806367313,0.005014354576498734,-0.018670080720106542
DIAPH1_DIAPH3,-0.600249916216526,0.6691323010207442,-2.02104142289115
DMWD_WDR20,-0.3969072021526618,-0.07317694208203022,-0.09439517654923855
DMXL1_DMXL2,0.06254711942970109,-0.9965511464788118,-0.8709410899438166
