,A375_D14,RPE_D14,MEWO_D14,A375_D28,RPE_D28,MEWO_D28
NCAPH_NEK6,-0.7707513044572026,-0.8137476228903716,-0.47876172667638167,-1.0747032942082684,-2.3912922498675617,0.12457020668762557
CYP11B1_NEK9,0.14290712200894215,-0.13622749812663654,0.004121612477881703,0.17078806534680607,0.14350246280794282,-0.5329916721396842
NETO1_NETO2,0.9927407553221503,0.5269669544796561,0.5131342240270064,0.13959808930658493,0.02923048640626937,0.3730247258309816
NEURL1_NEURL1B,-0.23273942851167922,0.38261719935019634,1.0415694789094323,-0.3354178591149356,0.5537025928705245,0.5778573620609977
NFKB1_NFKB2,1.2550451484246632,1.9767526108360698,2.110829001572564,1.4582291244414587,0.5154531114689704,1.0104730064000296
NFX1_NFXL1,0.3294710070306802,0.5947827065350485,0.619360177933971,0.31568140643046183,0.9955633728266992,0.7930542234922449
NIPBL_PARP1,1.2705455319089616,0.7256605524382735,0.9254314756279683,1.3683075640872575,-0.23779897811560274,0.7476541751080524
NKAP_NKAPL,1.3589086836525581,1.7741253499900453,1.7884314990617451,0.7291804182214213,0.7191978164712048,0.7742900470123223
CENPF_NLRX1,-0.10279036379786734,-0.6068679384398041,0.6385997023599729,-0.12979062676969147,0.046037020492954384,0.6748725718191521
EXO1_NLRX1,-1.0679389566645212,-0.5854492864769015,-1.2670667419169506,-1.8765076089088395,-0.5618350218914887,-0.7748975361837462
ASPM_NME3,0.1544077403939961,0.16247192700853735,-0.6628762928601357,-0.3198337442164094,-1.2034254633352743,-0.6689777665682717
NME7_NME8,0.575160929874636,0.6687594012918716,0.2879506384365002,0.40545295857762337,-0.3029309034850716,0.06376430790660217
NMT1_NMT2,1.9485543481921632,1.0097171096693571,2.9287482140990364,-0.3653252654406955,0.6722439368895927,1.5035047751869364
ASPM_NNT,-0.21338147909856836,0.45216340906062974,-0.4767274580876428,-0.25640138588067346,0.0937689249748774,-0.11171388982450269
BMP3_NODAL,0.0033468401615304065,0.42543409229720053,-0.3057582030571096,0.17674205896023196,0.0027260696548983736,-0.038603957858393365
ABCC12_NOP56,0.3271716235743876,0.00267511709128627,-0.5753145604590717,0.43469682270697146,0.7528300305675891,-0.296558600593839
NOVA1_NOVA2,-0.13574522088078486,1.0709801282955458,0.5919363091623164,-0.03723622546880275,0.898967804962279,0.8442542875659406
CLOCK_NPAS2,-0.2738662360218552,-0.2698012489482193,0.20619290563520323,-0.55511868377573,0.5081602679092392,-0.34899612990697
NPC1_NPC1L1,0.21955651134076543,0.19681736394757815,1.0414682645653381,0.3844727640570401,0.3190034468366751,0.17526893825228154
ASPM_NPDC1,-0.07056442043309577,0.2315025215233884,-0.9545238300069623,-0.5397187984288195,-0.5439061989735741,-0.43973867520163834
DSN1_NPDC1,0.8544947632086656,0.09214259758647146,-1.2030391977302266,1.2266328220155314,0.3198599161438322,-0.04683225141570432
EXO1_NPDC1,-0.664518703112213,-1.008049702775923,-1.1851770469166045,-1.695163983696051,0.004099899680575076,-0.3721410115388807
NCAPH_NPDC1,-0.45372598401145137,-0.8759735313436202,-1.018010150159914,-0.6497270956917736,-1.8555286586428223,-0.1128744702090814
LAP3_NPEPL1,-0.5808419132624612,-0.9945407228130368,-0.005916531291026832,-0.5652162423990483,0.15351200201746457,0.4082596735806585
EGFL6_NPNT,0.1396651654106545,0.38730676707508754,0.5549058643320756,0.06315031168154914,0.35913612951563856,0.49209471386529247
BSG_NPTN,-0.017305634582045013,-0.035058879843168037,0.13044771783902656,-1.0787054147041408,-0.05399731287044197,-0.8205776775258435
CYP11B1_NR1D2,0.008774597812293517,0.29995521332013575,-0.46599772127471834,0.6737748614241631,0.14014489747633813,-0.7473586645611673
NEB_NRAP,0.854595166994112,1.109615594287071,-0.14846065680828263,0.9279426005081158,1.051332989056715,0.4244562129613661
NUBP1_NUBPL,1.58107969925605,-0.3113074228747658,1.9404138545565792,-1.4508561552807058,-1.041821356380537,0.17966347341615205
NUDC_NUDCD3,1.6417326888648498,1.6004583848766285,1.3224312421406688,0.1822971761907301,0.9465066728094366,2.3466931717577997
MCM7_NUDT12,0.35028921554343967,-0.39721889413975525,-0.7670378563092489,0.03672285345664074,-1.5379808295183142,-0.23718822604501927
NUMB_NUMBL,1.2470977252432494,2.1623051071570187,-0.11018322220655262,1.0313440346167362,0.45261782397670536,0.4459301305209169
NUP210_NUP210L,0.3742024984066564,-0.1690266816490322,0.46431913654342255,0.7936374592270612,-0.30848080249249155,0.5126274084545728
NXT1_NXT2,0.5915117532807369,0.34496808069515167,0.7656737541921494,0.3060869571148312,0.2802116207948727,0.6172292286669963
OBSCN_OBSL1,-0.20042349065151935,-0.27693004902484963,0.501491815694486,0.46205563893821483,0.015897280250983855,0.4987543398638259
MARVELD2_OCEL1,-0.09095801840724116,-0.5205136224755482,-0.6449102159722301,-0.17149347720951763,-0.015995645340899887,-0.5345680076687206
