"","A375_D14","MEWO_D14","RPE_D14","A375_D28","MEWO_D28","RPE_D28"
"DGKI:DGKZ",0.189687164008555,-0.105625107080872,0.415480632893115,0.153171296596932,-0.149595816823584,-0.00367242812076751
"DHX8:KRAS",0.396872524150793,0.357103919849523,0.825721055698409,0.453019694951417,0.467882239900021,1.17089099944084
"DIMT1:TFB1M",0.945320651849891,0.368194452276716,0.782110696239464,0.399140222765492,1.16530231729387,0.43221344065983
"DISP1:DISP2",0.261018958721964,0.0612079122649523,0.389014785402734,0.248652629169769,0.105161979958009,0.364528261049713
"DMRTA2:DMRTB1",0.400758055435565,0.0201779014039365,0.405208993855439,0.469099215663972,0.0502627974013506,0.337425574046905
"DMXL1:DMXL2",-0.0152501207303968,-0.0248860223410744,0.117801053557174,-0.156342034184764,-0.1058664418236,-0.134360393349459
"DNAJC6:GAK",0.265192799599626,-0.0904693878135282,0.0703059170613508,0.721495975399936,0.0986024648515437,0.300263422837265
"ASPM:DNASE1L3",0.411539333534775,0.214810645598274,0.223690428198749,0.843871987691752,0.335952745422586,0.286614005445741
"CDH9:DNMT1",0.0522419635541382,0.12867314911019,-0.0380103836045533,0.26333178206766,-0.0742846067403872,0.187176809499388
"ASPM:DPP7",0.438871646917736,0.153551307082877,0.24950457224569,0.741318017083448,0.331686956692234,0.263852693921524
"ADAMTS19:DSN1",0.0479622239915202,0.0293501356961176,-0.114160159169399,0.110562397319964,0.10071558385845,0.10103941076062
"ALKBH3:DSN1",0.197520848979929,-0.0660841536153161,0.0891596325872501,0.115378946994031,-0.128301730007103,0.360712935186384
"ASTN2:DSN1",0.463246380264656,0.127307420578367,0.367420537432435,0.413799855423879,0.33535184773409,0.548091072612493
"CDC42EP1:DSN1",0.247326298965668,0.134185555582343,-0.13701148251478,0.415165568685996,0.276850514523996,-0.0745480597286758
"CYBA:DSN1",0.1558888230862,0.024352447270634,0.147127924080178,0.307664354509383,0.0749729471314997,0.256312493194674
"DGKB:DSN1",0.186423940646534,0.052435711021138,0.135806608884232,0.338925062305329,0.126156731790814,0.227910743233606
"DISP1:DSN1",0.0569017386615501,0.136440385641123,-0.173429525979029,0.151373396231733,0.291796599356007,-0.114590290654027
"DPP7:DSN1",0.458998821602483,0.218480825341621,0.361143910719817,0.510548480541872,0.333295834954344,0.397660196953273
"DSN1:FSTL5",0.0593257343811178,0.0644079634492385,0.1267246964682,0.116287378960752,-0.024858771543481,0.328180573069595
"DSN1:HTT",0.483220661898252,0.200206881840396,0.551086463201234,0.961343606376436,0.616822519232053,0.756753464307711
"DSN1:KCNH7",0.0171120276279827,0.134271110930276,-0.154589709992264,0.0601751843419565,0.191316108013512,0.0493433275687101
"DSN1:SRRM2",0.725310283784705,0.552293896259299,0.492763247383869,1.27341351750182,0.941219072987146,0.26863247835124
"DSP:PLEC",0.0649552777928869,-0.077858925615594,0.528440006039608,-0.056570921376931,-0.0429521888268663,0.384038658123862
"DTL:EP300",-0.0642338930916889,-0.107712787094158,-0.6958497535796,-0.294526960255811,-0.409096437159536,-1.89584588670926
"DTL:PKD1",0.872192008210661,0.20746887948695,1.03721510743876,0.766372161158515,0.256122155644369,0.588394630860641
"CYP11B1:DTX3L",0.459586987803698,-0.0506412136497093,0.575182286412266,0.51499830852571,-0.036415569318772,0.353149416691991
"DUOX1:DUOX2",0.0309392565102792,-0.0207081989817179,0.234419841491322,0.0481425755111744,0.0122349276293018,0.0749127803995658
"DUOXA1:DUOXA2",0.434879865332661,0.136819564455574,0.62425310339388,0.360428912341987,0.121625709889745,0.553726639452325
"DUSP7:EGFR",0.036568286575423,0.108930695711853,0.451636611756305,0.0435175236396249,0.277030592911035,0.741380785900602
"DUSP16:DUSP8",0.0648651221147051,0.0578503010348844,0.407300844294574,-0.0300316956768111,0.00425254208287473,0.551474442575534
"DYNC1I1:DYNC1I2",0.903810440237099,0.541172674495509,0.95902849503807,0.959703236301924,1.12573512689937,0.877195031594263
"DYNC1LI1:DYNC1LI2",0.499304530602556,0.15042926029532,1.27060799241727,0.66775867075104,0.317618373960348,1.09284127074738
"DYNLRB1:DYNLRB2",0.0303390678686305,-0.0684539309031256,0.31084117088078,0.0574376960252705,0.0526676541577823,0.318524115078498
"DYNLT1:DYNLT3",0.290736286690143,0.0552908484945792,0.737919604942657,0.524731937879432,0.0237282713316974,0.810574247481581
"E2F7:E2F8",0.0284484357240137,0.0936491173802774,0.469886939350392,-0.366724047341299,0.124672002413787,0.253636804435406
"ASPM:EAF1",0.0138848406329541,0.148802793757638,-1.65935828484532,0.0900139449429206,0.271430215144318,-2.17326992535144
"CYP11B1:EAF1",-0.0858476986860062,0.0249487575508124,-1.14208895512482,-0.236965408656133,0.047374467645214,-1.65210832270118
"EAF1:EAF2",0.847397030756074,0.443047664413656,-1.18877597558948,0.819774025730838,0.892237666519195,-2.00275717239465
