"","Meljuso","GI1_004","MEL202_003","PK1","MEWO","HS944T","IPC298","A549","HSC5","HS936T","PATU8988S"
"DNAH1;DNAH2",0.24385969553714,0.202334756383739,0.255486975067081,0.434020286730746,0.258064186038725,0.480675695907781,0.356608307367855,0.0367649200391956,0.231038099710328,0.305507013461942,0.0533738700857485
"DNAH1;DNAH3",-0.115467854236109,0.0892416915490633,-0.0331227652879546,-0.0233158401141861,0.128076019050756,0.123018291965694,0.0176556573859501,-0.0218069712619538,0.265892589125646,0.105926448290101,0.0158137288610994
"DNAH1;DNAH6",-0.0544381476919516,-0.141484793601776,-0.00538451863909928,-0.200609380932279,0.0223858468484715,0.018761749442391,-0.254754299010282,-0.202838899157888,0.0783545886748434,-0.0510238459262097,-0.128224415607833
"DNAH10;DNAH17",0.388334354049974,0.240487243725268,0.480247109466866,0.367291197568924,0.23874663159657,0.210372668340327,0.0571344470894858,0.368037194009718,0.343401462246133,0.316814828098313,0.247689841564605
"DNAH10;DNAH2",0.298927035856198,0.673605293526614,0.51296101597403,0.225924215513903,0.141680439538051,0.56495570532315,0.397053350041227,0.466624053571784,0.234735185287488,0.616252400748255,0.455851585920683
"DNAH10;DNAH3",0.12026459468173,0.470907147402811,0.21662780955001,0.434183164077465,0.0562998508601352,0.195358421846706,0.117989515422802,0.370865183079547,0.241397025463885,0.222678175251251,0.380935646382739
"DNAH10;DNAH5",0.134264467002758,0.666015568813314,0.445736851005523,0.413589152737016,0.15224670174694,0.214462840932576,0.202513136911837,0.492112781764431,0.952725668145533,0.176640810986821,0.396400433873024
"DNAH10;DNAH6",0.0781055454593064,0.332634889575362,0.360199022625192,0.3807862193059,0.0853773432376044,0.242618388867812,0.149793819976026,0.22558225204795,0.140306452351801,0.257609743715003,0.22520151345739
"DNAH10;DNAH8",0.0752098035919246,0.562724127777036,0.347479255894225,0.129368001729323,0.302196968843539,0.319296936657581,0.363230496267604,0.435338806534166,0.467541932505476,0.374683796514851,0.39432688182053
"DNAH10;DNAH9",0.164615348499238,0.506523220265794,0.441754987374985,0.191341661705836,0.0403518824766412,0.316759973848013,0.140915516860222,0.541143756243145,0.156199230865229,0.146442150776467,0.00553100013985086
"DNAH11;DNAH17",0.593420048336401,0.0280431334751293,0.230963053838519,0.0116394613306526,0.310198204372873,0.273242737572589,0.066341875770003,0.254978604624811,0.0590425634927266,-0.0590905658058823,0.180043840348661
"DNAH11;DNAH2",0.461766666939329,0.388645546056424,0.29707938943614,0.414903349587909,0.252727353759238,0.558044471880564,0.421965554334154,0.444861917435183,0.0766535918325534,0.394722271736101,0.370161532652816
"DNAH11;DNAH9",0.398202341577303,0.0780929193170516,0.312909784503165,0.0178056606586626,0.123032065001169,0.329348179349042,0.0994305914887767,0.545057553168311,0.164268841281329,0.163131380427262,-0.00418174235344054
"DNAH17;DNAH2",0.53652728179846,0.499149142750594,0.316733527344634,0.384746404872739,0.332049919655527,0.456035395679206,0.421634173988594,0.335143105391682,-0.0190093541395322,0.368851228126526,0.419523210755707
"DNAH17;DNAH9",0.427023877783559,0.193478385703302,0.189574936787994,-0.067346064110447,0.0993678426501102,0.139254913273033,-0.140956245697792,0.333226599277543,0.0739475049552764,0.130698376066008,-0.105055481605209
"DNAH2;DNAH3",0.21221130316813,0.28793082667034,0.197138781942335,0.188910062166344,0.137390143912749,0.249010759223504,0.388742535861575,0.235057650893105,0.0367925367384578,0.240029211940373,0.159426261116801
"DNAH2;DNAH5",0.208212459651141,0.515094540733402,0.305790023582144,0.246759892364071,0.156976195955073,0.295512706199216,0.402302165480544,0.446820431171005,0.307543190421959,0.279401956181491,0.154672609317724
"DNAH2;DNAH6",0.2054063387693,0.188707281145775,0.277103206207577,0.137061868733316,0.27920685263605,0.349624598733472,0.199195402154928,0.254831214568416,-0.104946497779978,0.21243263654762,0.26238240875628
"DNAH2;DNAH9",0.346260560713642,0.198498667006352,0.318883531148149,0.0787375265050851,0.170625551535856,0.405083988478838,0.5689835240305,0.444613749172005,0.0588260313984157,0.266890513490149,0.140115594833534
"DNAH3;DNAH6",-0.109887552818697,-0.0492330229692989,-0.0130606605015288,-0.191978069830753,-0.0156899323619532,0.070368976509314,0.0173020996656943,0.0654781889579484,-0.137959328024203,0.130846517394446,-0.0486691019190253
"DNAH5;DNAH8",-0.00531843833599777,0.274035782508765,0.134416483156733,-0.124102584373015,0.143143623265827,0.0095810556612847,0.121696536585938,0.350422890284164,0.569987129101106,0.403007257418134,0.0613143862368198
"ACVR1;ACVR1B",0.0394437625512845,0.0053033368989458,0.229533542644055,0.752661651390335,0.0858450993235439,0.454923348986585,0.528143854951955,0.455592465087008,-0.0153359658073877,0.177309015074027,0.0842802321435396
"ACVR1;ACVR1C",0.117762040321501,-0.0463084815754078,0.139342487963471,0.316210083209395,0.29718007597345,0.495260697041134,0.332770568966219,0.0839486424340108,-0.139217006538712,0.0795701130555499,0.0663555449944045
"ACVR1;ACVRL1",0.121784505135584,0.24120128578865,0.206513036400787,0.46514739937218,0.352942857988519,0.43250340438817,0.546040169393519,0.314773991324193,-0.0402638538578707,0.277618627653,0.276638217559826
"ACVR1;BMPR1A",-0.0383579566735345,0.00265011001224763,0.349708271093193,0.245791165115467,0.242667534231194,0.603211625361499,0.180587145224702,0.233051526473037,-0.145289627446412,0.0657682691356667,-0.108108968366568
"ACVR1;BMPR1B",0.148918717116717,0.12384415685412,0.325085796245087,0.551100762604765,0.524011807724891,0.493207018328115,0.368804061723765,0.165069917165515,-0.111949893014499,0.153064563424494,0.00133925896760523
"ACVR1;TGFBR1",0.157636208854199,0.139745058947513,-0.0991658627066026,0.133881271948095,0.339072185431676,0.39307493077165,0.312088304180054,0.145027478908392,-0.0112716972057465,0.0873181422639532,0.215297094451567
"ACVR1B;ACVR1C",-0.134198948822376,0.214214966932326,-0.00962409813069381,0.446383536750627,-0.0818999866965885,0.0633021844752206,0.273832960402553,0.105950498083584,0.198087388963845,0.183908139027487,0.0961593152070556
"ACVR1B;ACVRL1",-0.160084582744278,0.414775142628359,0.0668703165981319,0.351305149416729,-0.0641300262079348,0.000273470693171907,0.434232046702472,0.288832573743944,0.331762965102282,0.153857891377208,0.145003451125225
