"","A375_D14","MEWO_D14","RPE_D14","A375_D28","MEWO_D28","RPE_D28"
"CNGB1:CNGB3",0.156806385204152,0.0943369226980757,0.382159465961402,0.15151269489155,-0.0653168931947858,0.150689420929945
"CNKSR1:CNKSR2",0.0631315180776199,0.0306250071519589,0.448056436256426,0.044653801111,0.085842212819296,0.359528378872804
"CNOT7:CNOT8",1.066457110559,0.349467398578829,1.48491679989771,1.6078790284577,0.737120956833078,1.60529032001361
"COG8:RP11-343C2.9",1.46415031470985,0.676311798836691,1.43625210223508,1.71618188120223,1.61909933087433,1.56480712281089
"COPG1:COPG2",0.354304232190801,0.072802053507586,0.571406503380135,0.51528940088428,0.144415729727651,0.718081101818626
"COPS2:PSMD11",1.58265873104957,1.16728364274005,1.29223381945973,1.75553653939908,1.59245808866505,1.29428583829099
"COPS6:PSMD7",0.796436555916222,0.83362854126831,1.01588133690943,0.71297940415466,0.821078384127002,0.888336372169123
"COPS7A:COPS7B",0.0692530794795072,0.0648393883907457,0.0994984284474539,0.175238529004755,0.169714515347733,0.207362784415634
"COPZ1:COPZ2",-0.0412923770422045,-0.218691642852327,0.014461182573685,0.0638187684123973,-0.103279025895493,-0.226066969228675
"COQ10A:COQ10B",0.362381723838356,0.0966770001859357,0.565649777741297,0.433870407639812,0.146102477460482,0.486071000510952
"COX4I1:COX4I2",0.147879038723588,-0.0167048918840247,1.10381525506666,0.472080737521662,0.215363192549762,1.09913791878667
"COX6B1:COX6B2",0.255993006258652,0.0361844002329856,0.471507705206959,0.0722449588147805,0.141519858909969,0.558338591473814
"ASPM:CPPED1",0.342278826050166,0.13820260808833,0.452224256810499,0.500021946936949,0.346017563706586,0.030692787791551
"CPSF3:CPSF3L",1.7867236823467,0.684061754074663,1.42029302128477,2.01905314834649,1.57667196639129,1.42591408163464
"CPSF6:CPSF7",0.090800714301267,0.0873128124220394,0.769989434381152,0.521382719971101,0.195533636773598,0.64224419335021
"CREG1:CREG2",0.168858858863132,-0.00436000816942577,0.305224041062794,0.191412010860808,0.0243730100014178,0.199141509097112
"CRK:CRKL",1.31965324555267,0.304840612702454,1.37955160890133,1.5580560245279,0.802798333115634,0.99884454842333
