gene_pair,SL_score,standard_error,Gene 1,Gene 2
ASPM|RIN2,-0.021270286967582947,0.0022496673423147667,ASPM,RIN2
ASPM|RNF135,-0.023485260577097655,0.0028199803086539797,ASPM,RNF135
ASPM|RRAS,-0.02401062932005016,0.0031063997320229476,ASPM,RRAS
ASPM|SERPINB6,-0.02121797078833652,0.003119721546280668,ASPM,SERPINB6
ASPM|SFXN3,-0.0228015619558544,0.002513093777974084,ASPM,SFXN3
ASPM|SMARCA4,-0.020494954481096436,0.002667857629707373,ASPM,SMARCA4
ASPM|SPIRE1,-0.017870858779359074,0.0032287590472312197,ASPM,SPIRE1
ASPM|STK11,-0.01779027560243202,0.0034481991985936774,ASPM,STK11
ASPM|SUSD1,-0.018112458365332377,0.003100504311435584,ASPM,SUSD1
ASPM|SYDE1,-0.022192110722798183,0.002863389139606006,ASPM,SYDE1
ASPM|TBL3,-0.012575486566558713,0.002500537687670172,ASPM,TBL3
ASPM|TCEA2,-0.020673929804893493,0.0034767958642747585,ASPM,TCEA2
ASPM|TEX264,-0.01491990941580754,0.003296653429866786,ASPM,TEX264
ASPM|TGFBR2,-0.017126962746423967,0.003630581459039466,ASPM,TGFBR2
ASPM|TNFRSF12A,-0.018616188623168647,0.0028943128218365008,ASPM,TNFRSF12A
ASPM|UBE2L6,-0.020838808111099807,0.003034997808042449,ASPM,UBE2L6
ASPM|ZNF597,-0.019609735076018268,0.0036273114249776583,ASPM,ZNF597
ASPM|ZNF747,-0.017475810047082648,0.00591605698617256,ASPM,ZNF747
ASPM|ZNF785,-0.018315384685348126,0.0024025904710268434,ASPM,ZNF785
ASRGL1|TASP1,-0.017370458809788922,0.0026384180480970324,ASRGL1,TASP1
ASTN2|DSN1,-0.011398979261162616,0.002040665826785194,ASTN2,DSN1
ASXL1|ASXL3,-0.008215067380733139,0.0024543923854201477,ASXL1,ASXL3
ATAD2|ATAD2B,-0.023268735427119852,0.003801911073729658,ATAD2,ATAD2B
ATF7IP|ATF7IP2,-0.021620882994257316,0.0034628940447446583,ATF7IP,ATF7IP2
ATG2A|ATG2B,-0.013260008846697112,0.001789277410541103,ATG2A,ATG2B
ATM|PARP1,-0.009535484004301473,0.0019273444256684437,ATM,PARP1
ATN1|RERE,-0.006100542804906228,0.0013806468405625795,ATN1,RERE
ATP10D|EXO1,-0.008323895523752994,0.0028695959213274275,ATP10D,EXO1
ATP10D|NCAPH,-0.0072946556095605485,0.0024628230005016493,ATP10D,NCAPH
ATP6V0E1|XPO1,-0.022348631229926395,0.003945219771723667,ATP6V0E1,XPO1
