gene_pair,SL_score,standard_error,Gene 1,Gene 2
ADAMTS20|SKAP2,-0.01704589977749446,0.003603364963747681,ADAMTS20,SKAP2
ADAMTSL1|ADAMTSL3,-0.016389110719140957,0.0024048398540249417,ADAMTSL1,ADAMTSL3
ADAP1|ADAP2,-0.027983038768566715,0.0027556085713863637,ADAP1,ADAP2
ADIPOR1|ADIPOR2,-0.0249911757219434,0.0039786222492587345,ADIPOR1,ADIPOR2
ADSL|RP5-1042K10.14,-0.0894147060318957,0.016367844862708158,ADSL,RP5-1042K10.14
ADSS|ADSSL1,-0.011274416850788622,0.004232031392821192,ADSS,ADSSL1
AFG3L2|SPG7,-0.014020700415120829,0.002598488125801633,AFG3L2,SPG7
AGFG1|AGFG2,-0.018818607817692637,0.002909041632282994,AGFG1,AGFG2
AHNAK|EXO1,-0.018360505755524063,0.002841425987512445,AHNAK,EXO1
AHNAK|NCAPH,-0.011893473101158687,0.002226572935360108,AHNAK,NCAPH
AHR|AHRR,-0.050398332405970435,0.008494587033688364,AHR,AHRR
AK2|AK8,-0.02836864047929996,0.003031105692612584,AK2,AK8
AK3|AK4,-0.012852607673559455,0.005852154154120083,AK3,AK4
AKR7A2|CYP11B1,-0.02766397240678252,0.0024133224454084366,AKR7A2,CYP11B1
AKT2|EGFR,0.002094099530710683,0.002122810575651575,AKT2,EGFR
ALAS1|ALAS2,-0.020765865972027515,0.005338577749971512,ALAS1,ALAS2
ALCAM|EXO1,-0.016844200384286953,0.0025238896490026312,ALCAM,EXO1
ALKBH3|DSN1,-0.009140935900689758,0.0030863916319629568,ALKBH3,DSN1
ALKBH3|EXO1,-0.020302453549590652,0.0029710343070698565,ALKBH3,EXO1
ALKBH3|NCAPH,-0.008781484728763174,0.003093318309783666,ALKBH3,NCAPH
ALKBH4|ATR,-0.07997131448483492,0.010020219268198035,ALKBH4,ATR
ALKBH4|FAM111A,-0.03433698887056444,0.00392475392279907,ALKBH4,FAM111A
ALK|LTK,-0.01684655559242541,0.003934475641810314,ALK,LTK
AMDHD2|RP11-20I23.3,-0.020876275825216884,0.0027487861880224405,AMDHD2,RP11-20I23.3
AMOTL2|ASPM,-0.01581652413881553,0.0021440700005884595,AMOTL2,ASPM
AMOTL2|CDC25C,-0.01159644439504905,0.0018091587821405912,AMOTL2,CDC25C
ANKRD11|ANKRD12,-0.009126545047143421,0.0022224265912140144,ANKRD11,ANKRD12
